Movie name,Description,Genre
Avengers: Endgame,"  devastating events  avengers: infinity war,  universe   ruins due   efforts   mad titan, thanks.   help  remaining allies,  avengers must assemble    order  undo thanks' actions  restore order   universe    all,  matter  consequences may   store.","Adventure, Science Fiction, Action"
Avengers: Infinity War,"  avengers   allies  continued  protect  world  threats  large   one hero  handle,  new danger  emerged   cosmic shadows: thanks.  depot  intergalactic infant,  goal   collect  six infinity stones, artifacts  imaginable power,  use   inflict  twisted     reality. everything  avengers  fought   led    moment -  fate  earth  existence   never   uncertain.","Adventure, Action, Science Fiction"
Klaus," selfish postal   reclusive toymaker form  unlikely friendship, delivering joy   cold, dark town  desperately needs it.","Animation, Family, Adventure, Comedy, Fantasy"
Out of the Clear Blue Sky,"returning  earth   imitation,  legendary mexican artist pedro infant must prove     longer  romanized  enter paradise.","Comedy, Drama, Music"
Five Feet Apart,"seventeen-year-old stella spends    time   hospital   cystic fibrosis patient.  life  full  routines, boundaries  self-control —    get put   test   meets will,  impossible charming teen     illness. there's  instant filtration, though restrictions dictate   must maintain  safe distance  them.   connection intensifies,    temptation  throw  rules   window  embrace  attraction.","Romance, Drama"
The Matrix,"set   22nd century,  matrix tells  story   computer hacker  joins  group  underground insurgents fighting  vast  powerful computers   rule  earth.","Action, Science Fiction"
Green Book,"tony lip,  bouncer  1962,  hired  drive pianist  shirley   tour   deep south   days  african americans, forced  find alternate accommodations  services due  segregation laws   mason-dixon line, relied   guide called  negro motorists green book.","Drama, History"
Il Sorpasso,"roberto,  shy law student  rome, meets bruno,  forty-year-old exuberant, capricious man,  takes    drive   roman  tuscany countries   summer.   journey starts  blend   daily lives though,  pair’s newfound friendship  tested.","Drama, Comedy, Adventure"
Come and See," invasion   village  byelorussia  german forces sends young flora   forest  join  weary resistance fighters,   family's wishes.   meets  girl, glass,  accompanies  back   village.  returning home, flora finds  family  fellow peasants massacred.  continued survival amidst  brutal debris  war becomes increasingly nightmares,  battle  despair  hope.","Drama, War"
Mommy," peculiar neighbor offers hope   recent widow   struggling  raise  teenager   unpredictable and, sometimes, violent.",Drama
Wolf Children,"  werewolf lover unexpectedly dies   accident,  woman must find  way  raise  son  daughter     him. however,  inheritance   father's traits prove    challenge  her.","Animation, Family, Drama, Fantasy"
Gladiator,"  death  emperor marcus aureus,  devious son takes power  denotes maximus, one  rome's  capable generals  marcus preferred. eventually, maximus  forced  become  gladiator  battle   death   men   amusement  paying audiences.","Action, Drama, Adventure"
Saving Private Ryan," u.s. troops storm  beaches  normally, three brothers lie dead   battlefield,   fourth trapped behind enemy lines. ranger captain john miller  seven men  tasked  penetrating german-held territory  bringing  boy home.","Drama, History, War"
Justice League Dark: Apokolips War,"earth  decimated  intergalactic tyrant darkred  devastated  justice league   poorly executed war   dc super heroes.   remaining bastions  good –  justice league, teen titans, suicide squad  assorted others – must regroup, strategic  take  war  darkred  order  save  planet   surviving inhabitants.","Animation, Action, Science Fiction, Adventure, Fantasy"
Woman in the Dunes, vacationing entomologist suffers extreme physical  psychological trauma   taken captive   residents   poor seaside village  made  live   woman whose life task  shoreline sand  them.,"Drama, Thriller"
